Site,Good,Bad,State,Bad Tags
darrow/wells/well_4;DARROW_S_MTP_JF_4H,23,16,Needs work,
darrow/wells/well_5;CLUB_SE_SMF_JF_9H,25,15,Needs work,
Pad Total (darrow):268
dawson/pad;DAWSON_SMF_JF,60,4,Close,
dawson/wells/well_1;DAWSON_SMF_JF_2H,30,4,Close,
dawson/wells/well_2;DAWSON_SMF_JF_4H,24,10,Needs work,
dawson/wells/well_3;OMAITS_SMF_JF_2H-A,25,9,Needs work,
dawson/wells/well_4;DAWSON_N_SMF_JF_1H,41,8,Needs work,
dawson/wells/well_5;DAWSON_N_SMF_JF_3H,44,8,Needs work,
Pad Total (dawson):292
dickson/pad;DICKSON_CRC_JF,1,164,Unable to Process!
dickson/wells/well_1;DICKSON_CRC_JF_1H,0,49,Unable to Process!
dickson/wells/well_2;DICKSON_CRC_JF_3H,0,49,Unable to Process!
dickson/wells/well_3;BATES_S_CRC_JF_5H,0,48,Unable to Process!
dickson/wells/well_4;BATES_S_CRC_JF_7H,0,0,Unable to Process!
dickson/wells/well_5;DICKSON_SW_CRC_JF_2H,0,0,Unable to Process!
dickson/wells/well_6;DICKSON_S_CRC_JF_4H,0,0,Unable to Process!
dickson/wells/well_7;DICKSON_SE_CRC_JF_6H,0,0,Unable to Process!
dickson/wells/well_8;DICKSON_E_CRC_JF_8H,0,0,Unable to Process!
Pad Total (dickson):1
donna/pad;DONNA_LND_GR,151,80,Needs work,
donna/wells/well_1;DONNA_E_LND_GR_8H,10,71,Needs work,
donna/wells/well_10;DONNA_NE_LND_GR_9H,50,0,Unable to Process!
